Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,45.688,45.746,44.587,44.741,6737800,0.0,0.0
2017-01-04,45.06,45.843,44.79,45.128,5859600,0.0,0.0
2017-01-05,44.954,45.35,44.074,44.345,6825300,0.0,0.0
2017-01-06,44.306,45.147,43.939,44.654,7260200,0.0,0.0
2017-01-09,44.461,45.746,44.239,45.495,4739100,0.0,0.0
2017-01-10,45.418,46.877,45.389,46.848,7483800,0.0,0.0
2017-01-11,47.631,48.22,46.481,47.002,6925800,0.0,0.0
2017-01-12,47.031,47.35,45.263,46.481,5447300,0.0,0.0
2017-01-13,46.539,46.8,45.939,46.046,3541700,0.0,0.0
2017-01-17,45.959,46.142,45.099,45.176,5350800,0.0,0.0
2017-01-18,45.804,46.191,45.079,46.036,5176500,0.0,0.0
2017-01-19,46.036,46.471,45.302,45.669,3729300,0.0,0.0
2017-01-20,45.939,46.539,45.65,46.384,5611800,0.0,0.0
2017-01-23,46.287,46.471,45.176,45.36,4284200,0.0,0.0
2017-01-24,45.466,46.191,45.224,45.939,4926700,0.0,0.0
2017-01-25,46.287,46.587,46.007,46.297,5075800,0.0,0.0
2017-01-26,46.8,48.036,46.703,47.92,10332800,0.0,0.0
2017-01-27,48.317,48.317,45.147,45.369,19411100,0.0,0.0
2017-01-30,44.084,44.374,42.383,43.388,16786100,0.0,0.0
2017-01-31,43.282,43.33,42.267,42.76,11719800,0.0,0.0
2017-02-01,43.243,43.485,42.432,42.567,7955500,0.0,0.0
2017-02-02,42.142,43.021,42.103,42.528,7607700,0.0,0.0
2017-02-03,42.818,43.05,42.287,42.712,6357900,0.0,0.0
2017-02-06,43.292,44.065,43.234,43.775,6496100,0.0,0.0
2017-02-07,44.21,44.577,43.495,43.649,6120000,0.0,0.0
2017-02-08,43.736,43.736,43.011,43.543,4329900,0.0,0.0
2017-02-09,43.65,45.131,43.524,44.841,7089900,0.1,0.0
2017-02-10,45.151,45.228,44.715,44.986,4040600,0.0,0.0
2017-02-13,45.093,46.274,45.034,45.916,6158600,0.0,0.0
2017-02-14,45.77,45.79,44.986,45.102,6271700,0.0,0.0
2017-02-15,46.09,46.536,45.451,46.042,8394800,0.0,0.0
2017-02-16,46.003,46.148,45.189,45.49,5681800,0.0,0.0
2017-02-17,45.354,45.616,44.967,45.432,4581600,0.0,0.0
2017-02-21,45.528,45.78,45.112,45.335,4672000,0.0,0.0
2017-02-22,45.034,45.228,44.424,44.86,5799600,0.0,0.0
2017-02-23,44.957,45.829,44.444,44.647,5247000,0.0,0.0
2017-02-24,44.55,44.841,44.143,44.821,4489600,0.0,0.0
2017-02-27,44.725,44.899,44.24,44.86,4130500,0.0,0.0
2017-02-28,44.86,45.248,44.579,44.899,4935600,0.0,0.0
2017-03-01,45.315,46.623,45.228,45.606,8278900,0.0,0.0
2017-03-02,45.199,45.267,44.202,44.279,7590700,0.0,0.0
2017-03-03,44.405,45.77,44.327,45.344,7256900,0.0,0.0
2017-03-06,44.947,45.209,42.981,43.882,11336600,0.0,0.0
2017-03-07,43.601,43.804,43.156,43.427,4565300,0.0,0.0
2017-03-08,43.378,43.872,43.194,43.475,5520400,0.0,0.0
2017-03-09,43.097,43.514,41.887,41.964,9330100,0.0,0.0
2017-03-10,42.09,42.565,41.616,42.516,6842300,0.0,0.0
2017-03-13,42.352,42.729,40.928,41.035,8882300,0.0,0.0
2017-03-14,40.734,40.773,39.553,39.911,10208500,0.0,0.0
2017-03-15,39.224,40.86,38.943,40.763,13986200,0.0,0.0
2017-03-16,40.851,41.015,40.144,40.802,7058300,0.0,0.0
2017-03-17,40.676,40.88,40.289,40.405,10185800,0.0,0.0
2017-03-20,40.851,41.083,40.144,40.386,6229800,0.0,0.0
2017-03-21,40.56,40.657,39.069,39.146,7938700,0.0,0.0
2017-03-22,38.526,39.272,37.974,39.078,9943000,0.0,0.0
2017-03-23,39.417,40.541,39.204,40.105,9516600,0.0,0.0
2017-03-24,40.376,40.744,40.115,40.415,6596600,0.0,0.0
2017-03-27,39.776,40.57,39.282,40.424,6050500,0.0,0.0
2017-03-28,40.512,41.577,40.24,41.257,6185800,0.0,0.0
2017-03-29,41.345,41.412,40.55,40.638,5331400,0.0,0.0
2017-03-30,40.531,41.296,40.473,41.199,3681400,0.0,0.0
2017-03-31,41.035,41.587,40.938,40.967,5427700,0.0,0.0
2017-04-03,40.996,41.228,40.318,41.112,5764700,0.0,0.0
2017-04-04,40.763,40.899,39.533,39.611,7254700,0.0,0.0
2017-04-05,39.853,40.802,39.766,40.008,7012700,0.0,0.0
2017-04-06,40.095,40.638,39.863,40.405,3627600,0.0,0.0
2017-04-07,40.221,40.773,39.979,40.492,4137000,0.0,0.0
2017-04-10,40.492,41.325,40.308,40.986,4650500,0.0,0.0
2017-04-11,41.432,42.565,41.073,42.545,10269600,0.0,0.0
2017-04-12,43.378,43.921,42.449,42.574,9991100,0.0,0.0
2017-04-13,42.565,42.633,41.974,41.984,5504900,0.0,0.0
2017-04-17,42.1,42.855,41.993,42.836,4563200,0.0,0.0
2017-04-18,42.642,43.127,42.032,42.429,5808900,0.0,0.0
2017-04-19,42.681,43.369,42.516,43.001,6573400,0.0,0.0
2017-04-20,43.301,43.95,43.156,43.795,4956500,0.0,0.0
2017-04-21,44.066,44.066,43.572,43.727,5536000,0.0,0.0
2017-04-24,44.066,44.976,44.037,44.976,6335300,0.0,0.0
2017-04-25,45.325,45.896,44.918,45.141,5960600,0.0,0.0
2017-04-26,45.044,45.422,44.783,44.938,6027600,0.0,0.0
2017-04-27,42.526,42.817,41.073,42.594,18988600,0.0,0.0
2017-04-28,42.633,42.671,41.219,41.277,13358000,0.0,0.0
2017-05-01,41.412,41.606,40.686,40.754,8591400,0.0,0.0
2017-05-02,40.734,42.526,40.725,42.487,9402500,0.0,0.0
2017-05-03,42.294,42.778,42.052,42.536,5144300,0.0,0.0
