Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,39.932,40.472,39.746,40.301,39180000,0.0,0.0
2017-01-04,40.394,40.571,40.106,40.289,30306000,0.0,0.0
2017-01-05,40.275,40.587,40.196,40.551,26810000,0.0,0.0
2017-01-06,40.649,41.346,40.475,41.159,40342000,0.0,0.0
2017-01-09,41.216,41.419,40.98,41.257,28178000,0.0,0.0
2017-01-10,41.251,41.368,41.055,41.198,23948000,0.0,0.0
2017-01-11,41.229,41.393,40.972,41.391,26508000,0.0,0.0
2017-01-12,41.317,41.416,40.949,41.374,26990000,0.0,0.0
2017-01-13,41.447,41.629,41.374,41.444,25804000,0.0,0.0
2017-01-17,41.397,41.406,41.058,41.271,28818000,0.0,0.0
2017-01-18,41.388,41.388,41.102,41.349,20554000,0.0,0.0
2017-01-19,41.348,41.547,41.096,41.117,21410000,0.0,0.0
2017-01-20,41.352,41.36,41.128,41.306,26124000,0.0,0.0
2017-01-23,41.478,42.173,41.333,42.117,49148000,0.0,0.0
2017-01-24,42.244,42.471,42.01,42.372,33768000,0.0,0.0
2017-01-25,42.572,42.833,42.382,42.816,33108000,0.0,0.0
2017-01-26,42.846,42.944,42.421,42.743,69866000,0.0,0.0
2017-01-27,42.844,43.243,41.991,42.147,75050000,0.0,0.0
2017-01-30,41.75,41.758,40.95,41.09,70338000,0.0,0.0
2017-01-31,40.874,41.052,40.57,40.908,40404000,0.0,0.0
2017-02-01,41.098,41.098,40.512,40.661,45020000,0.0,0.0
2017-02-02,40.649,41.126,40.502,40.812,33784000,0.0,0.0
2017-02-03,41.055,41.204,40.866,40.905,30562000,0.0,0.0
2017-02-06,40.945,41.018,40.614,40.98,27018000,0.0,0.0
2017-02-07,41.173,41.493,41.063,41.359,33332000,0.0,0.0
2017-02-08,41.424,41.609,41.154,41.392,26044000,0.0,0.0
2017-02-09,41.484,41.496,41.223,41.4,23884000,0.0,0.0
2017-02-10,41.545,41.754,41.423,41.639,28302000,0.0,0.0
2017-02-13,41.782,41.983,41.709,41.844,25914000,0.0,0.0
2017-02-14,41.885,41.996,41.688,41.898,27266000,0.0,0.0
2017-02-15,41.837,41.985,41.708,41.763,27144000,0.0,0.0
2017-02-16,41.821,42.03,41.76,42.004,20102000,0.0,0.0
2017-02-17,41.962,42.242,41.885,42.223,29224000,0.0,0.0
2017-02-21,42.295,42.505,42.223,42.359,25206000,0.0,0.0
2017-02-22,42.295,42.584,42.231,42.463,24488000,0.0,0.0
2017-02-23,42.449,42.526,42.021,42.445,27734000,0.0,0.0
2017-02-24,42.278,42.313,42.044,42.286,26924000,0.0,0.0
2017-02-27,42.143,42.428,42.046,42.379,20206000,0.0,0.0
2017-02-28,42.263,42.337,41.968,42.142,27662000,0.0,0.0
2017-03-01,42.464,42.794,42.346,42.732,36374000,0.0,0.0
2017-03-02,42.71,42.719,42.331,42.388,25018000,0.0,0.0
2017-03-03,42.342,42.436,42.131,42.349,20100000,0.0,0.0
2017-03-06,42.238,42.342,41.955,42.259,20958000,0.0,0.0
2017-03-07,42.258,42.561,42.172,42.452,20774000,0.0,0.0
2017-03-08,42.551,42.741,42.457,42.577,20576000,0.0,0.0
2017-03-09,42.579,42.929,42.528,42.786,26954000,0.0,0.0
2017-03-10,43.028,43.105,42.775,42.964,26732000,0.0,0.0
2017-03-13,42.935,43.249,42.935,43.122,23332000,0.0,0.0
2017-03-14,43.081,43.272,42.9,43.189,21234000,0.0,0.0
2017-03-15,43.29,43.387,42.959,43.312,26658000,0.0,0.0
2017-03-16,43.419,43.528,43.269,43.393,22090000,0.0,0.0
2017-03-17,43.576,43.613,43.311,43.511,37366000,0.0,0.0
2017-03-20,43.367,43.41,43.127,43.288,30844000,0.0,0.0
2017-03-21,43.396,43.566,42.28,42.402,50760000,0.0,0.0
2017-03-22,42.369,42.662,42.245,42.385,27334000,0.0,0.0
2017-03-23,41.966,41.981,41.547,41.879,65754000,0.0,0.0
2017-03-24,41.996,42.096,41.353,41.654,42114000,0.0,0.0
2017-03-27,41.302,41.965,41.113,41.822,38692000,0.0,0.0
2017-03-28,41.881,42.166,41.511,41.928,30384000,0.0,0.0
2017-03-29,42.033,42.474,41.965,42.389,29146000,0.0,0.0
2017-03-30,42.494,42.495,42.234,42.369,18988000,0.0,0.0
2017-03-31,42.237,42.373,42.158,42.285,28820000,0.0,0.0
2017-04-03,42.333,42.844,42.272,42.732,39388000,0.0,0.0
2017-04-04,42.295,42.545,42.271,42.523,26970000,0.0,0.0
2017-04-05,42.63,42.923,42.271,42.341,37104000,0.0,0.0
2017-04-06,42.37,42.574,42.096,42.151,30672000,0.0,0.0
2017-04-07,42.146,42.19,41.762,42.001,22232000,0.0,0.0
2017-04-10,41.973,42.232,41.936,41.981,20924000,0.0,0.0
2017-04-11,41.981,42.127,41.627,41.89,19486000,0.0,0.0
2017-04-12,41.819,42.082,41.776,41.969,22716000,0.0,0.0
2017-04-13,41.948,42.082,41.789,41.905,21474000,0.0,0.0
2017-04-17,41.965,42.676,41.948,42.651,20982000,0.0,0.0
2017-04-18,42.522,42.764,42.457,42.594,18724000,0.0,0.0
2017-04-19,42.764,42.904,42.571,42.72,21606000,0.0,0.0
2017-04-20,42.881,43.09,42.769,42.898,23776000,0.0,0.0
2017-04-21,42.925,43.015,42.781,42.841,23458000,0.0,0.0
2017-04-24,43.315,43.889,43.199,43.838,33930000,0.0,0.0
2017-04-25,44.004,44.502,43.855,44.332,40760000,0.0,0.0
2017-04-26,44.459,44.539,44.148,44.347,26466000,0.0,0.0
2017-04-27,44.39,44.559,44.249,44.462,46846000,0.0,0.0
2017-04-28,46.335,46.679,46.047,46.112,76918000,0.0,0.0
2017-05-01,46.093,46.675,45.926,46.526,46556000,0.0,0.0
2017-05-02,46.548,47.033,46.435,46.739,35026000,0.0,0.0
2017-05-03,46.687,47.393,46.645,47.305,36496000,0.0,0.0
2017-05-04,47.397,47.839,47.251,47.618,38752000,0.0,0.0
2017-05-05,47.718,47.804,47.288,47.397,32310000,0.0,0.0
2017-05-08,47.255,47.931,47.253,47.816,37534000,0.0,0.0
2017-05-09,47.948,47.991,47.602,47.717,33758000,0.0,0.0
2017-05-10,47.693,47.717,47.375,47.624,22920000,0.0,0.0
2017-05-11,47.447,47.781,47.313,47.676,20622000,0.0,0.0
2017-05-12,47.774,47.781,47.485,47.639,24298000,0.0,0.0
2017-05-15,47.647,48.016,47.523,47.843,26754000,0.0,0.0
2017-05-16,48.058,48.176,47.899,48.111,22030000,0.0,0.0
2017-05-17,47.866,47.931,46.887,46.992,48982000,0.0,0.0
2017-05-18,47.044,47.591,46.947,47.408,36010000,0.0,0.0
2017-05-19,47.523,47.859,47.482,47.615,27206000,0.0,0.0
2017-05-22,47.732,48.122,47.71,48.084,27748000,0.0,0.0
2017-05-23,48.378,48.605,48.106,48.408,30908000,0.0,0.0
2017-05-24,48.643,48.785,48.462,48.76,22660000,0.0,0.0
2017-05-25,48.829,49.666,48.77,49.471,39082000,0.0,0.0
2017-05-26,49.477,49.696,49.246,49.541,32728000,0.0,0.0
2017-05-30,49.502,49.758,49.446,49.685,30324000,0.0,0.0
2017-05-31,49.687,49.857,48.963,49.233,34482000,0.0,0.0
2017-06-01,49.426,49.534,48.943,49.292,26128000,0.0,0.0
2017-06-02,49.307,49.701,49.232,49.683,34710000,0.0,0.0
2017-06-05,49.771,50.246,49.65,50.07,27578000,0.0,0.0
2017-06-06,50.042,50.306,49.617,49.711,31042000,0.0,0.0
2017-06-07,49.831,50.072,49.671,49.951,27482000,0.0,0.0
2017-06-08,50.087,50.156,49.708,50.09,33758000,0.0,0.0
2017-06-09,50.15,50.151,47.551,48.386,72958000,0.0,0.0
2017-06-12,47.818,48.28,46.724,47.972,84042000,0.0,0.0
2017-06-13,48.482,48.775,47.982,48.405,40108000,0.0,0.0
2017-06-14,48.655,48.864,47.857,48.277,30110000,0.0,0.0
2017-06-15,47.284,47.915,46.902,47.89,48552000,0.0,0.0
2017-06-16,47.777,47.879,47.318,47.813,51184000,0.0,0.0
2017-06-19,48.363,48.844,48.29,48.641,29376000,0.0,0.0
2017-06-20,48.645,48.918,48.29,48.33,25946000,0.0,0.0
2017-06-21,48.42,48.857,48.353,48.809,23232000,0.0,0.0
2017-06-22,48.723,48.904,48.545,48.71,20190000,0.0,0.0
2017-06-23,48.655,49.209,48.603,49.183,31280000,0.0,0.0
2017-06-26,49.378,49.577,48.397,48.484,30358000,0.0,0.0
2017-06-27,47.961,48.242,47.238,47.287,48872000,0.0,0.0
2017-06-28,47.416,48.043,46.692,47.932,54912000,0.0,0.0
2017-06-29,47.45,47.465,46.365,46.775,64134000,0.0,0.0
2017-06-30,47.083,47.133,46.366,46.369,45754000,0.0,0.0
2017-07-03,46.546,46.597,45.652,45.859,33896000,0.0,0.0
2017-07-05,46.096,46.699,45.818,46.498,41882000,0.0,0.0
2017-07-06,46.136,46.691,45.879,46.27,40298000,0.0,0.0
2017-07-07,46.435,47.116,46.375,46.924,33266000,0.0,0.0
2017-07-10,46.981,47.539,46.981,47.433,29030000,0.0,0.0
2017-07-11,47.409,47.627,47.139,47.559,29224000,0.0,0.0
2017-07-12,47.924,48.362,47.734,48.263,32042000,0.0,0.0
2017-07-13,48.42,48.814,48.121,48.323,30492000,0.0,0.0
2017-07-14,48.58,48.756,48.388,48.725,21592000,0.0,0.0
2017-07-17,48.695,49.046,48.42,48.677,33210000,0.0,0.0
2017-07-18,48.548,49.42,48.482,49.226,28266000,0.0,0.0
2017-07-19,49.378,49.657,49.229,49.516,28242000,0.0,0.0
2017-07-20,49.727,49.811,49.109,49.487,28368000,0.0,0.0
2017-07-21,49.328,49.633,49.087,49.569,29266000,0.0,0.0
2017-07-24,49.582,50.185,49.391,49.792,79690000,0.0,0.0
2017-07-25,48.415,48.716,48.071,48.332,118672000,0.0,0.0
2017-07-26,48.519,48.577,47.893,48.146,44432000,0.0,0.0
