Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,69.788,70.201,68.999,69.882,2065400,0.0,0.0
2017-01-04,70.51,72.566,69.985,72.387,3232300,0.0,0.0
2017-01-05,72.003,72.669,71.946,72.087,2808800,0.0,0.0
2017-01-06,71.946,72.556,71.862,71.909,1872300,0.0,0.0
2017-01-09,71.365,76.076,71.365,74.067,4616400,0.0,0.0
2017-01-10,73.992,74.358,73.026,73.457,2319500,0.0,0.0
2017-01-11,73.805,74.734,73.448,74.433,1837500,0.0,0.0
2017-01-12,74.274,74.518,73.711,74.255,1482900,0.0,0.0
2017-01-13,74.368,74.903,74.236,74.518,1436600,0.0,0.0
2017-01-17,76.001,77.146,73.964,75.954,3645000,0.0,0.0
2017-01-18,76.254,76.329,74.743,74.828,2845200,0.0,0.0
2017-01-19,74.574,74.903,73.739,73.786,2560100,0.0,0.0
2017-01-20,73.72,74.94,73.701,74.809,1882500,0.0,0.0
2017-01-23,74.199,75.391,73.27,74.931,4095700,0.0,0.0
2017-01-24,74.706,75.409,74.161,75.391,2010600,0.0,0.0
2017-01-25,75.475,76.151,75.175,75.616,2994300,0.0,0.0
2017-01-26,75.56,76.339,75.212,75.344,1855000,0.0,0.0
2017-01-27,75.625,75.644,74.49,74.631,1481900,0.0,0.0
2017-01-30,74.602,74.602,73.579,74.415,1911900,0.0,0.0
2017-01-31,74.799,75.541,73.673,75.344,3077300,0.0,0.0
2017-02-01,75.869,77.531,75.766,76.92,3091200,0.0,0.0
2017-02-02,76.695,77.765,76.423,77.23,2316200,0.0,0.0
2017-02-03,77.709,78.948,77.493,78.647,2847300,0.0,0.0
2017-02-06,78.657,79.079,77.512,77.587,2819700,0.0,0.0
2017-02-07,77.662,78.122,77.155,77.512,1455400,0.0,0.0
2017-02-08,77.249,78.253,77.005,77.897,1918200,0.0,0.0
2017-02-09,77.559,78.807,77.559,78.497,1286800,0.0,0.0
2017-02-10,78.507,78.91,77.99,78.488,1347000,0.0,0.0
2017-02-13,78.535,79.042,78.441,78.6,1323300,0.0,0.0
2017-02-14,78.45,79.126,78.366,78.563,1934400,0.0,0.0
2017-02-15,78.6,79.417,78.244,79.107,2867700,0.0,0.0
2017-02-16,79.229,79.661,78.544,78.966,1519500,0.0,0.0
2017-02-17,78.666,79.445,78.047,79.426,1813600,0.0,0.0
2017-02-21,79.736,81.078,79.52,80.468,2170600,0.0,0.0
2017-02-22,80.102,80.825,79.661,80.628,1701700,0.0,0.0
2017-02-23,80.712,81.285,80.111,81.134,2207800,0.0,0.0
2017-02-24,80.693,82.064,80.412,81.716,1857000,0.0,0.0
2017-02-27,81.604,82.561,81.604,82.383,2606000,0.0,0.0
2017-02-28,81.538,82.232,81.444,81.876,2171400,0.0,0.0
2017-03-01,82.542,83.058,82.054,82.627,1646500,0.0,0.0
2017-03-02,82.326,82.739,81.923,81.97,1290700,0.0,0.0
2017-03-03,81.998,83.171,81.866,83.087,1339700,0.0,0.0
2017-03-06,82.852,82.974,82.289,82.383,1350900,0.0,0.0
2017-03-07,82.026,82.279,81.116,81.303,1990700,0.0,0.0
2017-03-08,81.181,82.448,80.947,81.163,2763700,0.0,0.0
2017-03-09,81.219,82.242,80.947,81.547,1907600,0.0,0.0
2017-03-10,81.988,82.073,80.299,80.477,2620300,0.0,0.0
2017-03-13,80.693,80.693,78.985,79.764,2505900,0.0,0.0
2017-03-14,79.098,79.21,77.943,78.535,2663800,0.0,0.0
2017-03-15,78.835,80.515,78.647,80.29,2395600,0.0,0.0
2017-03-16,80.177,80.459,78.741,79.07,4014200,0.0,0.0
2017-03-17,79.257,79.52,78.685,79.389,2528900,0.0,0.0
2017-03-20,79.361,79.558,78.403,78.76,1875100,0.0,0.0
2017-03-21,78.769,79.295,76.498,77.54,2659600,0.0,0.0
2017-03-22,77.427,77.643,76.357,77.465,2531100,0.0,0.0
2017-03-23,77.446,79.032,77.324,78.056,3160000,0.0,0.0
2017-03-24,78.497,81.163,78.281,80.75,5855200,0.0,0.0
2017-03-27,82.561,85.433,82.364,84.926,8584400,0.0,0.0
2017-03-28,84.457,84.626,82.636,84.119,4933200,0.0,0.0
2017-03-29,83.884,84.86,83.209,83.706,3553300,0.0,0.0
2017-03-30,83.471,83.969,83.265,83.762,1923400,0.0,0.0
2017-03-31,83.612,83.8,83.096,83.518,1709000,0.0,0.0
2017-04-03,83.499,83.922,83.096,83.837,1838100,0.0,0.0
2017-04-04,83.453,83.471,80.965,82.279,3326400,0.0,0.0
2017-04-05,82.796,84.278,82.589,83.03,2094800,0.0,0.0
2017-04-06,83.03,83.274,82.345,83.265,2732800,0.0,0.0
2017-04-07,83.18,83.18,82.195,82.495,1185700,0.0,0.0
2017-04-10,82.514,83.077,82.195,82.824,1375400,0.0,0.0
2017-04-11,82.636,82.702,82.017,82.589,1102500,0.0,0.0
2017-04-12,82.139,82.861,81.669,82.777,1474600,0.0,0.0
2017-04-13,83.105,83.105,82.167,82.326,1045500,0.0,0.0
2017-04-17,79.774,80.618,78.976,80.384,4345200,0.0,0.0
2017-04-18,80.327,80.571,79.595,79.971,2295400,0.0,0.0
2017-04-19,80.055,80.524,79.229,79.408,2254400,0.0,0.0
2017-04-20,79.079,79.605,77.634,78.948,4299000,0.0,0.0
2017-04-21,78.891,79.042,78.188,78.413,1764400,0.0,0.0
2017-04-24,79.389,79.933,79.051,79.079,2108000,0.0,0.0
2017-04-25,79.201,79.802,79.042,79.408,1451400,0.0,0.0
2017-04-26,79.689,79.849,77.831,78.403,2634400,0.0,0.0
2017-04-27,78.394,78.863,77.784,78.309,1560800,0.0,0.0
2017-04-28,78.46,79.164,78.46,79.032,1464800,0.0,0.0
2017-05-01,79.032,79.492,78.685,78.704,1780600,0.0,0.0
2017-05-02,79.079,80.646,78.891,79.53,3018300,0.0,0.0
2017-05-03,79.304,79.811,77.371,77.756,3307000,0.0,0.0
2017-05-04,77.502,78.713,76.414,78.347,2997000,0.0,0.0
2017-05-05,78.46,79.032,78.019,78.366,1350300,0.0,0.0
2017-05-08,78.591,78.826,78.338,78.704,2060000,0.0,0.0
2017-05-09,78.844,79.098,78.619,78.957,1606400,0.0,0.0
2017-05-10,79.06,80.618,78.779,80.299,1935400,0.0,0.0
2017-05-11,79.802,80.14,79.248,80.046,1195000,0.0,0.0
2017-05-12,79.971,79.98,78.873,79.408,1225300,0.0,0.0
2017-05-15,79.323,79.511,78.619,78.666,1564800,0.0,0.0
2017-05-16,79.051,79.051,78.084,78.356,1414000,0.0,0.0
2017-05-17,77.925,78.037,76.423,76.554,3322600,0.0,0.0
2017-05-18,76.676,76.967,76.113,76.264,1664800,0.0,0.0
2017-05-19,76.536,77.943,76.432,77.099,1965600,0.0,0.0
2017-05-22,76.827,77.624,76.799,77.258,993900,0.0,0.0
2017-05-23,77.268,77.559,76.836,76.892,1353000,0.0,0.0
2017-05-24,76.827,77.671,76.292,77.362,1214900,0.0,0.0
2017-05-25,77.437,78.356,77.033,78.0,697400,0.0,0.0
2017-05-26,77.803,78.159,76.921,77.615,1139800,0.0,0.0
2017-05-30,77.258,78.131,76.939,76.949,1235300,0.0,0.0
2017-05-31,76.902,77.502,76.705,76.874,2773100,0.0,0.0
2017-06-01,76.986,78.863,76.986,78.6,1794900,0.0,0.0
2017-06-02,78.497,78.948,77.887,78.206,1216600,0.0,0.0
2017-06-05,77.925,78.159,77.005,77.333,1378600,0.0,0.0
2017-06-06,77.333,77.568,76.63,77.409,1406100,0.0,0.0
2017-06-07,78.319,78.713,77.005,77.596,1509300,0.0,0.0
2017-06-08,77.718,78.319,77.108,77.709,2050000,0.0,0.0
2017-06-09,77.709,78.478,77.249,78.432,1959700,0.0,0.0
2017-06-12,78.309,79.783,78.309,79.642,2234700,0.0,0.0
2017-06-13,79.755,80.018,79.473,79.633,1288200,0.0,0.0
2017-06-14,79.905,80.421,79.511,80.102,1711500,0.0,0.0
2017-06-15,79.642,79.98,78.779,78.854,1547400,0.0,0.0
2017-06-16,78.957,79.023,77.953,78.281,1915400,0.0,0.0
2017-06-19,78.478,79.483,78.084,79.408,1079100,0.0,0.0
2017-06-20,78.985,79.304,77.878,78.591,1681300,0.0,0.0
2017-06-21,78.666,79.633,78.385,78.882,1725500,0.0,0.0
2017-06-22,78.816,82.477,78.732,80.843,3249500,0.0,0.0
2017-06-23,81.059,81.256,80.252,80.937,4885900,0.0,0.0
2017-06-26,80.928,81.998,80.853,81.294,1420300,0.0,0.0
2017-06-27,81.116,81.688,80.599,80.721,1669500,0.0,0.0
2017-06-28,81.519,82.139,81.144,81.632,1516200,0.0,0.0
2017-06-29,81.885,82.392,80.787,81.472,1618300,0.0,0.0
2017-06-30,81.866,82.392,81.744,81.838,1727900,0.0,0.0
2017-07-03,82.101,82.43,81.632,81.829,695700,0.0,0.0
2017-07-05,81.932,82.58,81.735,81.876,1534900,0.0,0.0
2017-07-06,81.472,81.632,79.389,79.614,2319900,0.0,0.0
2017-07-07,79.727,81.172,79.492,80.843,1613200,0.0,0.0
2017-07-10,80.665,81.163,80.018,80.599,1253100,0.0,0.0
2017-07-11,80.665,81.763,80.44,81.087,1750700,0.0,0.0
2017-07-12,81.566,81.923,80.965,81.134,1016300,0.0,0.0
2017-07-13,81.078,81.454,80.731,81.247,1198900,0.0,0.0
2017-07-14,81.106,81.538,80.675,81.313,1057300,0.0,0.0
2017-07-17,81.125,81.707,80.872,81.181,955400,0.0,0.0
2017-07-18,81.576,81.81,79.961,80.59,2088700,0.0,0.0
2017-07-19,80.675,81.332,79.821,79.989,2308900,0.0,0.0
2017-07-20,79.98,81.425,79.792,80.487,2254700,0.0,0.0
2017-07-21,80.843,81.181,79.98,80.459,2150300,0.0,0.0
2017-07-24,80.468,81.294,80.243,80.797,2533300,0.0,0.0
2017-07-25,77.521,79.473,76.761,77.127,4952300,0.0,0.0
2017-07-26,76.02,77.399,75.259,76.611,4316000,0.0,0.0
2017-07-27,76.038,76.235,74.724,75.043,2816600,0.0,0.0
2017-07-28,75.184,76.601,75.156,75.494,2461800,0.0,0.0
2017-07-31,75.391,75.625,74.64,75.4,2016200,0.0,0.0
2017-08-01,75.513,75.926,74.311,74.405,3178900,0.0,0.0
2017-08-02,74.518,74.771,73.88,74.124,2714900,0.0,0.0
2017-08-03,73.636,74.471,73.495,74.105,1552100,0.0,0.0
2017-08-04,74.415,74.555,73.833,74.021,1156600,0.0,0.0
2017-08-07,73.927,74.264,73.589,73.664,1684700,0.0,0.0
2017-08-08,73.204,73.945,72.472,73.326,3036400,0.0,0.0
2017-08-09,73.42,73.448,72.847,73.129,1766800,0.0,0.0
2017-08-10,73.007,73.298,72.782,73.026,2519800,0.0,0.0
2017-08-11,72.857,74.79,72.857,74.49,2491800,0.0,0.0
2017-08-14,74.724,74.856,74.096,74.631,2036000,0.0,0.0
2017-08-15,74.903,75.231,74.011,74.377,1599200,0.0,0.0
2017-08-16,74.424,74.734,73.974,74.133,1275600,0.0,0.0
