Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,46.448,47.148,45.904,46.061,4210300,0.0,0.0
2017-01-04,46.309,47.388,46.217,47.277,4914400,0.0,0.0
2017-01-05,47.406,48.033,46.19,46.512,7131500,0.0,0.0
2017-01-06,46.531,46.678,45.572,46.015,5691900,0.0,0.0
2017-01-09,46.079,46.936,45.895,46.356,4966600,0.0,0.0
2017-01-10,46.586,47.821,46.568,47.314,5569300,0.0,0.0
2017-01-11,47.71,48.107,47.434,47.627,5941600,0.0,0.0
2017-01-12,47.627,47.876,46.319,47.01,6059800,0.0,0.0
2017-01-13,47.001,47.314,46.798,47.139,2611300,0.0,0.0
2017-01-17,46.89,47.314,46.282,46.3,4219700,0.0,0.0
2017-01-18,46.144,46.687,45.803,46.429,5897000,0.0,0.0
2017-01-19,46.494,46.77,45.941,46.144,4237900,0.0,0.0
2017-01-20,46.208,47.157,46.208,47.084,5196500,0.0,0.0
2017-01-23,47.028,47.13,45.867,46.024,4222200,0.0,0.0
2017-01-24,46.19,46.3,45.692,45.757,6152400,0.0,0.0
2017-01-25,45.24,46.033,44.89,45.581,8380800,0.0,0.0
2017-01-26,47.369,49.756,47.13,49.692,15952600,0.0,0.0
2017-01-27,49.839,49.931,48.272,48.567,7687000,0.0,0.0
2017-01-30,48.042,48.291,47.157,48.245,8057600,0.0,0.0
2017-01-31,47.978,48.291,47.471,48.208,6604000,0.0,0.0
2017-02-01,48.429,49.093,48.328,48.595,4953400,0.0,0.0
2017-02-02,48.171,49.13,48.088,48.715,4563700,0.0,0.0
2017-02-03,48.844,49.378,48.475,48.733,3631600,0.0,0.0
2017-02-06,49.0,49.194,48.752,48.908,3335000,0.0,0.0
2017-02-07,49.166,49.655,48.761,48.881,5231000,0.0,0.0
2017-02-08,49.028,49.295,48.254,48.77,4076800,0.0,0.0
2017-02-09,48.77,50.383,48.752,50.245,7692200,0.0,0.0
2017-02-10,50.475,50.567,50.106,50.42,3194400,0.0,0.0
2017-02-13,50.54,51.894,50.54,51.36,5412800,0.0,0.0
2017-02-14,51.36,51.369,50.613,50.973,4945100,0.0,0.0
2017-02-15,52.447,53.507,51.424,52.797,9908500,0.0,0.0
2017-02-16,52.899,52.899,51.664,51.922,5617900,0.0,0.0
2017-02-17,51.719,52.853,51.221,52.825,6077200,0.0,0.0
2017-02-21,53.083,53.443,52.604,53.323,4290600,0.0,0.0
2017-02-22,53.258,53.452,52.659,53.369,4782100,0.0,0.0
2017-02-23,53.525,53.959,52.641,52.77,4664700,0.0,0.0
2017-02-24,52.456,53.968,51.95,53.949,5513400,0.0,0.0
2017-02-27,53.765,53.894,53.055,53.848,6309000,0.0,0.0
2017-02-28,53.82,53.977,53.175,53.267,5733900,0.0,0.0
2017-03-01,53.885,55.0,53.848,54.263,5382900,0.0,0.0
2017-03-02,53.876,54.124,53.019,53.055,4658700,0.0,0.0
2017-03-03,53.175,54.373,53.083,54.244,5136900,0.0,0.0
2017-03-06,53.922,54.005,52.678,53.046,5899500,0.0,0.0
2017-03-07,53.0,53.0,52.335,52.465,5757300,0.1,0.0
2017-03-08,52.538,52.649,52.095,52.326,6214700,0.0,0.0
2017-03-09,52.372,52.972,51.957,52.031,7228200,0.0,0.0
2017-03-10,50.48,51.689,50.231,51.588,12504900,0.0,0.0
2017-03-13,51.44,51.865,50.277,50.304,9720400,0.0,0.0
2017-03-14,49.954,49.981,48.67,48.818,9223100,0.0,0.0
2017-03-15,47.978,50.424,47.839,50.12,9513600,0.0,0.0
2017-03-16,50.406,50.415,49.64,49.99,4933700,0.0,0.0
2017-03-17,49.981,50.046,49.077,49.095,6400300,0.0,0.0
2017-03-20,49.4,49.621,48.873,49.344,4754700,0.0,0.0
2017-03-21,49.538,49.538,47.821,47.895,6374900,0.0,0.0
2017-03-22,47.673,48.495,47.184,48.43,5817400,0.0,0.0
2017-03-23,48.43,48.892,48.227,48.347,3022300,0.0,0.0
2017-03-24,48.596,48.809,48.273,48.569,3719700,0.0,0.0
2017-03-27,48.006,48.929,47.729,48.818,4260000,0.0,0.0
2017-03-28,48.744,50.351,48.43,50.027,6854400,0.0,0.0
2017-03-29,49.861,49.926,49.077,49.372,4487500,0.0,0.0
2017-03-30,49.409,50.083,49.307,49.695,2631300,0.0,0.0
2017-03-31,49.418,49.815,49.307,49.63,3119600,0.0,0.0
2017-04-03,49.594,49.963,49.095,49.852,3446400,0.0,0.0
2017-04-04,49.677,49.76,48.818,48.993,3990600,0.0,0.0
2017-04-05,49.381,50.231,49.206,49.252,4822600,0.0,0.0
2017-04-06,49.252,49.64,48.892,49.28,3023700,0.0,0.0
2017-04-07,49.243,50.655,49.169,50.351,7941500,0.0,0.0
