Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,112.484,113.22,111.471,111.994,3001123,0.0,0.0
2017-01-04,111.981,112.528,111.717,112.163,1844232,0.0,0.0
2017-01-05,112.126,112.679,111.264,111.78,1731569,0.0,0.0
2017-01-06,111.515,112.339,110.578,112.107,1943500,0.0,0.0
2017-01-09,112.195,112.201,111.459,111.503,1940630,0.0,0.0
2017-01-10,111.56,111.641,110.899,111.069,2428000,0.0,0.0
2017-01-11,111.1,112.245,110.949,111.893,1889202,0.0,0.0
2017-01-12,111.314,111.773,110.547,111.61,1580873,0.0,0.0
2017-01-13,111.698,111.905,111.226,111.578,1513538,0.0,0.0
2017-01-17,111.333,111.761,110.861,111.497,1862770,0.0,0.0
2017-01-18,111.899,112.868,111.572,112.27,2158302,0.0,0.0
2017-01-19,112.748,113.094,111.811,112.39,1751422,0.0,0.0
2017-01-20,112.717,112.88,111.855,112.27,2107232,0.0,0.0
2017-01-23,111.905,112.585,111.415,112.283,2376213,0.0,0.0
2017-01-24,111.648,111.811,109.71,110.685,4153947,0.0,0.0
2017-01-25,111.39,112.358,111.063,111.163,4141270,0.0,0.0
2017-01-26,110.899,111.478,110.729,111.22,2674136,0.0,0.0
2017-01-27,111.635,111.949,111.226,111.635,1941945,0.0,0.0
2017-01-30,111.49,111.792,109.993,110.339,2180428,0.0,0.0
2017-01-31,109.912,110.364,109.327,109.962,2207218,0.0,0.0
2017-02-01,110.182,110.578,109.635,110.182,2718388,0.0,0.0
2017-02-02,109.528,109.937,109.163,109.559,3715733,0.0,0.0
2017-02-03,109.459,110.264,109.352,110.1,3373318,0.0,0.0
2017-02-06,109.522,110.83,109.383,110.138,1940869,0.0,0.0
2017-02-07,110.754,110.956,110.169,110.553,1491890,0.0,0.0
2017-02-08,110.465,111.71,110.383,111.377,2566257,0.0,0.0
2017-02-09,111.251,112.308,111.251,112.075,2403601,0.0,0.0
2017-02-10,112.151,112.956,112.082,112.591,1665310,0.0,0.0
2017-02-13,113.132,114.088,112.755,113.862,2308041,0.0,0.0
2017-02-14,113.761,114.478,113.629,114.226,2434936,0.0,0.0
2017-02-15,114.147,115.116,114.052,115.034,2108428,0.982,0.0
2017-02-16,115.065,116.148,114.983,116.116,2588144,0.0,0.0
2017-02-17,116.129,116.237,115.559,115.825,2345954,0.0,0.0
2017-02-21,115.724,116.249,115.249,116.091,2076615,0.0,0.0
2017-02-22,116.11,117.832,115.907,117.781,3409676,0.0,0.0
2017-02-23,117.699,118.68,117.572,118.509,2872314,0.0,0.0
2017-02-24,118.275,119.282,117.946,118.649,2543055,0.0,0.0
2017-02-27,118.706,118.737,117.997,118.332,1666985,0.0,0.0
2017-02-28,118.218,118.706,117.952,117.978,2310792,0.0,0.0
2017-03-01,119.073,120.63,119.029,120.2,2662535,0.0,0.0
2017-03-02,119.946,120.352,119.674,120.219,2109744,0.0,0.0
2017-03-03,120.219,120.44,119.364,119.852,1946370,0.0,0.0
2017-03-06,119.611,119.807,119.193,119.592,1995765,0.0,0.0
2017-03-07,119.206,119.82,119.18,119.712,1988111,0.0,0.0
2017-03-08,120.111,120.421,119.636,119.978,1870185,0.0,0.0
2017-03-09,119.814,120.535,119.763,120.225,1861813,0.0,0.0
2017-03-10,120.694,121.073,120.307,121.054,3007940,0.0,0.0
2017-03-13,121.409,121.529,120.58,121.251,2359349,0.0,0.0
